"","X.1","X","sex","vowel","stress","word","dur","pre_seg","fol_seg","speaker","community","class","point","word_count","pre_place","fol_place","F1","F2"
"5642",7500,7500,"Male","AY",1,"kind",0.13,"K","N",101,"Anglo","LWC",4,22,"dorsal","coronal",563.86,1290.397
"5643",7501,7501,"Male","AY",1,"life",0.08,"L","F",101,"Anglo","LWC",2,1,"coronal","labial",348.99,1158.802
"5644",7502,7502,"Male","AY",1,"life",0.08,"L","F",101,"Anglo","LWC",4,1,"coronal","labial",484.644,1244.638
"5645",7503,7503,"Male","EY",1,"way",0.06,"W","DH",101,"Anglo","LWC",2,7,"dorsal","coronal",472.923,1407.936
"5646",7504,7504,"Male","EY",1,"way",0.06,"W","DH",101,"Anglo","LWC",4,7,"dorsal","coronal",347.908,1341.391
"5647",7507,7507,"Male","AY",1,"kind",0.07,"K","N",101,"Anglo","LWC",2,22,"dorsal","coronal",437.222,1223.403
"5648",7508,7508,"Male","AY",1,"kind",0.07,"K","N",101,"Anglo","LWC",4,22,"dorsal","coronal",476.229,1176.447
"5649",7509,7509,"Male","EY",1,"nasal",0.08,"N","Z",101,"Anglo","LWC",2,1,"coronal","coronal",510.728,1760.254
"5650",7510,7510,"Male","EY",1,"nasal",0.08,"N","Z",101,"Anglo","LWC",4,1,"coronal","coronal",383.61,1665.296
"5651",7511,7511,"Male","AY",1,"kind",0.06,"K","N",101,"Anglo","LWC",2,22,"dorsal","coronal",543.605,1351.709
"5652",7512,7512,"Male","AY",1,"kind",0.06,"K","N",101,"Anglo","LWC",4,22,"dorsal","coronal",411.858,1156.259
"5653",7513,7513,"Male","IY",1,"queensland",0.05,"W","N",101,"Anglo","LWC",2,1,"dorsal","coronal",333.363,1380.72
"5654",7514,7514,"Male","IY",1,"queensland",0.05,"W","N",101,"Anglo","LWC",4,1,"dorsal","coronal",342.98,1523.382
"5655",7515,7515,"Male","AY",1,"guy",0.08,"G","S",101,"Anglo","LWC",2,10,"dorsal","coronal",415.404,1235.516
"5656",7516,7516,"Male","AY",1,"guy",0.08,"G","S",101,"Anglo","LWC",4,10,"dorsal","coronal",435.599,1241.198
"5657",7519,7519,"Male","IY",1,"people",0.05,"P","P",101,"Anglo","LWC",2,5,"labial","labial",397.614,1472.089
"5658",7520,7520,"Male","IY",1,"people",0.05,"P","P",101,"Anglo","LWC",4,5,"labial","labial",395.57,1468.201
"5659",7523,7523,"Male","EY",1,"great",0.08,"R","T",101,"Anglo","LWC",2,1,"coronal","coronal",437.342,1286.808
"5660",7524,7524,"Male","EY",1,"great",0.08,"R","T",101,"Anglo","LWC",4,1,"coronal","coronal",420.093,1370.252
"5661",7525,7525,"Male","UW",1,"twos",0.15,"T","Z",101,"Anglo","LWC",2,1,"coronal","coronal",403.504,1492.726
"5662",7526,7526,"Male","UW",1,"twos",0.15,"T","Z",101,"Anglo","LWC",4,1,"coronal","coronal",383.189,1463.565
"5663",7527,7527,"Male","EY",1,"greatest",0.09,"R","T",101,"Anglo","LWC",2,2,"coronal","coronal",507.543,1250.62
"5664",7528,7528,"Male","EY",1,"greatest",0.09,"R","T",101,"Anglo","LWC",4,2,"coronal","coronal",345.023,1156.708
"5665",7533,7533,"Male","UW",1,"refused",0.08,"Y","Z",101,"Anglo","LWC",2,1,"coronal","coronal",358.487,1101.976
"5666",7534,7534,"Male","UW",1,"refused",0.08,"Y","Z",101,"Anglo","LWC",4,1,"coronal","coronal",362.934,1106.313
"5667",7535,7535,"Male","EY",1,"basic",0.14,"B","S",101,"Anglo","LWC",2,4,"labial","coronal",510.248,1346.475
"5668",7536,7536,"Male","EY",1,"basic",0.14,"B","S",101,"Anglo","LWC",4,4,"labial","coronal",417.147,1628.359
"5669",7537,7537,"Male","AY",1,"right",0.08,"R","T",101,"Anglo","LWC",2,6,"coronal","coronal",471.241,1209.944
"5670",7538,7538,"Male","AY",1,"right",0.08,"R","T",101,"Anglo","LWC",4,6,"coronal","coronal",479.475,1173.905
"5671",7541,7541,"Male","AY",1,"guys",0.08,"G","Z",101,"Anglo","LWC",2,2,"dorsal","coronal",386.855,1258.097
"5672",7542,7542,"Male","AY",1,"guys",0.08,"G","Z",101,"Anglo","LWC",4,2,"dorsal","coronal",396.592,1229.385
"5673",7543,7543,"Male","AY",1,"trying",0.12,"R","NG",101,"Anglo","LWC",2,1,"coronal","dorsal",401.28,1074.162
"5674",7544,7544,"Male","AY",1,"trying",0.12,"R","NG",101,"Anglo","LWC",4,1,"coronal","dorsal",354.339,1136.969
"5675",7545,7545,"Male","UW",1,"too",0.07,"T","M",101,"Anglo","LWC",2,5,"coronal","labial",426.524,1415.413
"5676",7546,7546,"Male","UW",1,"too",0.07,"T","M",101,"Anglo","LWC",4,5,"coronal","labial",405.307,1561.066
"5677",7547,7547,"Male","IY",2,"thirty",0.07,"T","F",101,"Anglo","LWC",2,1,"coronal","labial",372.972,1583.048
"5678",7548,7548,"Male","IY",2,"thirty",0.07,"T","F",101,"Anglo","LWC",4,1,"coronal","labial",360.59,1586.637
"5679",7549,7549,"Male","AY",1,"five",0.1,"F","V",101,"Anglo","LWC",2,3,"labial","labial",411.798,1128.744
